TIMESTAMP,DATETIME,GLOBAL_CELL_ID,CELLT_AVG_NUM_SESS,CELLT_AVG_THP_DL,CELLT_AVG_RESR_PER_TTI_DL,CELLT_AVG_THPMRF_DL,CELLT_SUM_THPTIME_DL,CELLT_SUM_ACKVOL_DL,CELLT_AGG_THPMRF_TOTAL_DL,CELLT_AGG_COLL_PER_TTI_DL,CELLT_AGG_PAYLOAD_FRAC_DL,CELLT_AGG_SPECF_DL,CELLT_AGG_THP_DL,DATETIME_UTC,DATETIME_Melbourne,WEEKDAY_UTC,HOUR_UTC,MONTH_UTC,MINUTE_OF_DAY_UTC,DATE_UTC,WEEKDAY_Melbourne,HOUR_Melbourne,MONTH_Melbourne,MINUTE_OF_DAY_Melbourne,DATE_Melbourne
1474498800,2016-09-21 23:00:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:00:00+00:00,2016-09-22 09:00:00+10:00,21,23,9,1380,2016_9_21,22,9,9,540,2016_9_22
1474498860,2016-09-21 23:01:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:01:00+00:00,2016-09-22 09:01:00+10:00,21,23,9,1381,2016_9_21,22,9,9,541,2016_9_22
1474498920,2016-09-21 23:02:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:02:00+00:00,2016-09-22 09:02:00+10:00,21,23,9,1382,2016_9_21,22,9,9,542,2016_9_22
1474498980,2016-09-21 23:03:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:03:00+00:00,2016-09-22 09:03:00+10:00,21,23,9,1383,2016_9_21,22,9,9,543,2016_9_22
1474499040,2016-09-21 23:04:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:04:00+00:00,2016-09-22 09:04:00+10:00,21,23,9,1384,2016_9_21,22,9,9,544,2016_9_22
1474499100,2016-09-21 23:05:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:05:00+00:00,2016-09-22 09:05:00+10:00,21,23,9,1385,2016_9_21,22,9,9,545,2016_9_22
1474499160,2016-09-21 23:06:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:06:00+00:00,2016-09-22 09:06:00+10:00,21,23,9,1386,2016_9_21,22,9,9,546,2016_9_22
1474499220,2016-09-21 23:07:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:07:00+00:00,2016-09-22 09:07:00+10:00,21,23,9,1387,2016_9_21,22,9,9,547,2016_9_22
1474499280,2016-09-21 23:08:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:08:00+00:00,2016-09-22 09:08:00+10:00,21,23,9,1388,2016_9_21,22,9,9,548,2016_9_22
1474499340,2016-09-21 23:09:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:09:00+00:00,2016-09-22 09:09:00+10:00,21,23,9,1389,2016_9_21,22,9,9,549,2016_9_22
1474499400,2016-09-21 23:10:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:10:00+00:00,2016-09-22 09:10:00+10:00,21,23,9,1390,2016_9_21,22,9,9,550,2016_9_22
1474499460,2016-09-21 23:11:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:11:00+00:00,2016-09-22 09:11:00+10:00,21,23,9,1391,2016_9_21,22,9,9,551,2016_9_22
1474499520,2016-09-21 23:12:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:12:00+00:00,2016-09-22 09:12:00+10:00,21,23,9,1392,2016_9_21,22,9,9,552,2016_9_22
1474499580,2016-09-21 23:13:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:13:00+00:00,2016-09-22 09:13:00+10:00,21,23,9,1393,2016_9_21,22,9,9,553,2016_9_22
1474499640,2016-09-21 23:14:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:14:00+00:00,2016-09-22 09:14:00+10:00,21,23,9,1394,2016_9_21,22,9,9,554,2016_9_22
1474499700,2016-09-21 23:15:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:15:00+00:00,2016-09-22 09:15:00+10:00,21,23,9,1395,2016_9_21,22,9,9,555,2016_9_22
1474499760,2016-09-21 23:16:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:16:00+00:00,2016-09-22 09:16:00+10:00,21,23,9,1396,2016_9_21,22,9,9,556,2016_9_22
