,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,654.08,24_07_2020-00:35:24,13.125,100.831410156,46.357,0,1595550924
1,659.84,24_07_2020-00:35:26,10.981,100.838289062,46.183,1,1595550926
2,259.52,24_07_2020-00:35:27,13.861,100.866421875,46.095,2,1595550927
3,221.04,24_07_2020-00:35:28,13.447,100.913285156,46.077,3,1595550928
4,150.4,24_07_2020-00:35:29,9.951,100.936269531,46.286,4,1595550929
5,78.36,24_07_2020-00:35:30,11.848,100.959625,47.351,5,1595550930
6,92.8,24_07_2020-00:35:31,12.817,100.947089843,47.837,6,1595550931
7,120.64,24_07_2020-00:35:33,8.503,100.933484375,48.675,7,1595550933
8,187.36,24_07_2020-00:35:34,8.795,100.968152343,49.131,8,1595550934
9,122.8,24_07_2020-00:35:35,10.127,100.928957031,50.0,9,1595550935
10,140.4,24_07_2020-00:35:36,10.681,100.950015625,50.395,10,1595550936
11,101.76,24_07_2020-00:35:37,9.492,100.913460937,50.418,11,1595550937
12,174.88,24_07_2020-00:35:38,9.03,100.880410156,50.355,12,1595550938
13,102.88,24_07_2020-00:35:39,8.83,100.917003906,50.317,13,1595550939
14,114.24,24_07_2020-00:35:41,10.238,100.922199218,49.685,14,1595550941
15,105.92,24_07_2020-00:35:42,9.028,100.928863281,50.302,15,1595550942
16,98.24,24_07_2020-00:35:43,9.631,100.935996093,50.601,16,1595550943
17,101.6,24_07_2020-00:35:44,5.372,100.937519531,50.589,17,1595550944
18,112.16,24_07_2020-00:35:45,9.31,100.946058593,51.14,18,1595550945
19,121.6,24_07_2020-00:35:46,8.103,100.931730468,51.143,19,1595550946
20,140.16,24_07_2020-00:35:48,6.741,100.917292968,51.85,20,1595550948
21,230.8,24_07_2020-00:35:49,7.707,100.833761718,51.767,21,1595550949
22,656.64,24_07_2020-00:35:50,8.889,100.828585937,51.744,22,1595550950
23,656.0,24_07_2020-00:35:51,8.952,100.826289062,50.911,23,1595550951
24,656.0,24_07_2020-00:35:52,8.728,100.826566406,50.481,24,1595550952
25,656.0,24_07_2020-00:35:53,7.441,100.827417968,50.352,25,1595550953
26,656.0,24_07_2020-00:35:54,7.467,100.828261718,50.219,26,1595550954
27,656.0,24_07_2020-00:35:56,6.425,100.823671875,50.105,27,1595550956
28,656.0,24_07_2020-00:35:57,9.695,100.825699218,49.917,28,1595550957
29,656.0,24_07_2020-00:35:58,8.177,100.826398437,49.884,29,1595550958
30,656.0,24_07_2020-00:35:59,8.801,100.826304687,49.816,30,1595550959
31,655.36,24_07_2020-00:36:00,9.233,100.827527343,49.657,31,1595550960
32,655.36,24_07_2020-00:36:01,10.446,100.826890625,49.499,32,1595550961
33,655.36,24_07_2020-00:36:03,7.756,100.825199218,49.446,33,1595550963
34,655.36,24_07_2020-00:36:04,9.213,100.825375,49.202,34,1595550964
35,655.36,24_07_2020-00:36:05,10.624,100.82265625,49.078,35,1595550965
36,655.36,24_07_2020-00:36:06,10.281,100.821519531,48.92,36,1595550966
37,655.36,24_07_2020-00:36:07,10.45,100.822347656,48.55,37,1595550967
38,655.36,24_07_2020-00:36:08,10.043,100.826285156,48.487,38,1595550968
39,655.36,24_07_2020-00:36:09,11.75,100.831507812,48.333,39,1595550969
40,655.36,24_07_2020-00:36:11,10.848,100.827785156,48.21,40,1595550971
41,655.36,24_07_2020-00:36:12,12.297,100.828121093,48.177,41,1595550972
42,655.36,24_07_2020-00:36:13,11.215,100.831503906,47.963,42,1595550973
43,656.64,24_07_2020-00:36:14,10.868,100.831683593,47.93,43,1595550974
44,656.64,24_07_2020-00:36:15,11.349,100.829644531,47.641,44,1595550975
45,655.36,24_07_2020-00:36:16,11.283,100.834273437,47.618,45,1595550976
46,654.72,24_07_2020-00:36:18,12.014,100.829617187,47.49,46,1595550978
47,657.28,24_07_2020-00:36:19,11.027,100.827542968,47.321,47,1595550979
48,654.72,24_07_2020-00:36:20,12.38,100.833859375,47.233,48,1595550980
49,654.72,24_07_2020-00:36:21,11.277,100.832292968,47.099,49,1595550981
50,654.72,24_07_2020-00:36:22,14.505,100.83753125,46.88,50,1595550982
51,651.52,24_07_2020-00:36:23,13.621,100.838566406,46.802,51,1595550983
52,226.24,24_07_2020-00:36:24,12.109,100.843539062,46.593,52,1595550984
53,197.84,24_07_2020-00:36:26,12.73,100.938914062,46.591,53,1595550986
54,232.32,24_07_2020-00:36:27,11.697,100.926269531,46.77,54,1595550987
55,397.44,24_07_2020-00:36:28,10.969,100.916433593,47.945,55,1595550988
56,198.4,24_07_2020-00:36:29,10.131,100.926519531,50.037,56,1595550989
57,171.84,24_07_2020-00:36:30,8.021,100.921921875,49.964,57,1595550990
58,278.64,24_07_2020-00:36:31,10.07,100.94165625,49.927,58,1595550991
59,350.88,24_07_2020-00:36:32,8.229,100.9436875,49.879,59,1595550992
60,390.72,24_07_2020-00:36:34,6.942,100.894632812,51.266,60,1595550994
61,365.44,24_07_2020-00:36:35,7.997,100.893390625,51.661,61,1595550995
62,391.68,24_07_2020-00:36:36,10.714,100.920359375,51.629,62,1595550996
63,388.8,24_07_2020-00:36:37,7.777,100.880546875,51.651,63,1595550997
64,354.24,24_07_2020-00:36:38,8.007,100.912828125,52.867,64,1595550998
65,395.84,24_07_2020-00:36:39,8.201,100.911550781,53.097,65,1595550999
66,436.48,24_07_2020-00:36:41,6.469,100.920308593,53.175,66,1595551001
67,457.92,24_07_2020-00:36:42,5.229,100.917125,53.54,67,1595551002
68,285.12,24_07_2020-00:36:43,8.877,100.873566406,53.673,68,1595551003
69,183.04,24_07_2020-00:36:44,6.742,100.892644531,53.781,69,1595551004
70,153.12,24_07_2020-00:36:45,7.22,100.921332031,52.706,70,1595551005
71,122.4,24_07_2020-00:36:46,7.008,100.894257812,52.724,71,1595551006
72,414.88,24_07_2020-00:36:47,7.4,100.825316406,52.857,72,1595551007
73,650.88,24_07_2020-00:36:49,5.281,100.826285156,52.88,73,1595551009
74,650.88,24_07_2020-00:36:50,7.586,100.825480468,52.359,74,1595551010
75,650.88,24_07_2020-00:36:51,7.881,100.823867187,52.044,75,1595551011
76,650.88,24_07_2020-00:36:52,7.528,100.826671875,51.966,76,1595551012
77,650.24,24_07_2020-00:36:53,8.406,100.825203125,51.687,77,1595551013
78,650.24,24_07_2020-00:36:54,5.252,100.824464843,51.654,78,1595551014
79,650.88,24_07_2020-00:36:56,8.976,100.826699218,51.536,79,1595551016
80,650.24,24_07_2020-00:36:57,8.627,100.826234375,51.357,80,1595551017
81,650.24,24_07_2020-00:36:58,8.653,100.824632812,51.203,81,1595551018
82,650.24,24_07_2020-00:36:59,7.617,100.824726562,51.06,82,1595551019
83,650.24,24_07_2020-00:37:00,10.231,100.827308593,50.916,83,1595551020
84,650.24,24_07_2020-00:37:01,9.332,100.82434375,50.763,84,1595551021
85,650.24,24_07_2020-00:37:02,9.065,100.824019531,50.705,85,1595551022
86,650.24,24_07_2020-00:37:04,9.729,100.82334375,50.46,86,1595551024
87,650.24,24_07_2020-00:37:05,9.757,100.825757812,50.503,87,1595551025
88,650.24,24_07_2020-00:37:06,9.002,100.824257812,50.35,88,1595551026
89,649.6,24_07_2020-00:37:07,10.322,100.826015625,50.075,89,1595551027
90,649.6,24_07_2020-00:37:08,7.437,100.826957031,50.058,90,1595551028
91,649.6,24_07_2020-00:37:09,11.054,100.823835937,49.909,91,1595551029
92,649.6,24_07_2020-00:37:11,11.199,100.82484375,49.771,92,1595551031
93,648.96,24_07_2020-00:37:12,10.328,100.825632812,49.441,93,1595551032
94,648.96,24_07_2020-00:37:13,11.132,100.825484375,49.267,94,1595551033
95,648.96,24_07_2020-00:37:14,7.942,100.8264375,49.295,95,1595551034
96,648.96,24_07_2020-00:37:15,10.769,100.826167968,49.106,96,1595551035
97,648.96,24_07_2020-00:37:16,10.054,100.825097656,48.988,97,1595551036
98,648.96,24_07_2020-00:37:17,11.187,100.824726562,48.723,98,1595551037
99,648.96,24_07_2020-00:37:19,9.983,100.823492187,48.837,99,1595551039
