,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,1181.44,28_07_2020-00:39:14,25.263,100.829066406,36.807,0,1595896754
1,1184.0,28_07_2020-00:39:15,26.119,100.831058593,36.87,1,1595896755
2,1184.0,28_07_2020-00:39:17,25.239,100.831445312,36.893,2,1595896757
3,1184.0,28_07_2020-00:39:18,24.478,100.831671875,36.895,3,1595896758
4,1182.72,28_07_2020-00:39:19,25.483,100.830730468,36.872,4,1595896759
5,1182.72,28_07_2020-00:39:20,24.722,100.830121093,36.875,5,1595896760
6,1182.72,28_07_2020-00:39:21,25.871,100.829738281,36.832,6,1595896761
7,1180.8,28_07_2020-00:39:22,25.418,100.829671875,36.82,7,1595896762
8,1109.12,28_07_2020-00:39:24,25.679,100.82846875,36.777,8,1595896764
9,1151.36,28_07_2020-00:39:25,24.02,100.829652343,36.719,9,1595896765
10,1072.0,28_07_2020-00:39:26,25.898,100.827074218,36.656,10,1595896766
11,741.76,28_07_2020-00:39:27,25.119,100.827519531,36.714,11,1595896767
12,1089.28,28_07_2020-00:39:28,25.605,100.825890625,36.736,12,1595896768
13,1143.68,28_07_2020-00:39:29,25.384,100.828367187,36.679,13,1595896769
14,1168.64,28_07_2020-00:39:30,26.484,100.828417968,36.626,14,1595896770
15,723.84,28_07_2020-00:39:32,25.421,100.829042968,36.563,15,1595896772
16,725.12,28_07_2020-00:39:33,25.736,100.828488281,36.631,16,1595896773
17,724.48,28_07_2020-00:39:34,25.222,100.827488281,36.679,17,1595896774
18,724.48,28_07_2020-00:39:35,25.224,100.828429687,36.636,18,1595896775
19,724.48,28_07_2020-00:39:36,26.971,100.827,36.633,19,1595896776
20,724.48,28_07_2020-00:39:37,24.9,100.828257812,36.686,20,1595896777
21,723.84,28_07_2020-00:39:38,25.613,100.830140625,36.623,21,1595896778
22,723.84,28_07_2020-00:39:40,24.125,100.831695312,36.701,22,1595896780
23,723.84,28_07_2020-00:39:41,26.312,100.833515625,36.674,23,1595896781
24,722.56,28_07_2020-00:39:42,24.076,100.830796875,36.631,24,1595896782
25,722.56,28_07_2020-00:39:43,25.857,100.831574218,36.734,25,1595896783
26,722.56,28_07_2020-00:39:44,26.026,100.828035156,36.772,26,1595896784
27,721.92,28_07_2020-00:39:45,26.412,100.828980468,36.784,27,1595896785
28,721.92,28_07_2020-00:39:47,25.584,100.828871093,36.777,28,1595896787
29,721.92,28_07_2020-00:39:48,26.834,100.831628906,36.88,29,1595896788
30,721.28,28_07_2020-00:39:49,24.851,100.830042968,36.908,30,1595896789
31,721.92,28_07_2020-00:39:50,25.061,100.832628906,36.905,31,1595896790
32,721.28,28_07_2020-00:39:51,25.138,100.832363281,36.782,32,1595896791
33,721.28,28_07_2020-00:39:52,25.628,100.831980468,36.9,33,1595896792
34,720.64,28_07_2020-00:39:53,24.949,100.829425781,36.918,34,1595896793
35,721.28,28_07_2020-00:39:55,25.305,100.828160156,36.885,35,1595896795
36,721.28,28_07_2020-00:39:56,24.537,100.827550781,36.883,36,1595896796
37,721.28,28_07_2020-00:39:57,25.83,100.828371093,36.915,37,1595896797
38,720.64,28_07_2020-00:39:58,25.541,100.828714843,36.998,38,1595896798
39,720.64,28_07_2020-00:39:59,24.389,100.829199218,36.961,39,1595896799
40,720.64,28_07_2020-00:40:00,25.953,100.830703125,36.988,40,1595896800
41,720.0,28_07_2020-00:40:02,26.074,100.829371093,36.956,41,1595896802
42,719.36,28_07_2020-00:40:03,24.186,100.830585937,37.039,42,1595896803
43,718.72,28_07_2020-00:40:04,26.553,100.827933593,37.016,43,1595896804
44,718.08,28_07_2020-00:40:05,25.584,100.828101562,36.918,44,1595896805
45,718.08,28_07_2020-00:40:06,26.065,100.830078125,36.855,45,1595896806
46,717.44,28_07_2020-00:40:07,25.746,100.828472656,36.877,46,1595896807
47,717.44,28_07_2020-00:40:08,27.142,100.828636718,36.764,47,1595896808
