,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,2.49,17_07_2020-05:53:36,76.217,101.095480468,34.554,0,1594965216
1,7.36,17_07_2020-05:53:37,77.723,101.094265625,34.712,1,1594965217
2,7.24,17_07_2020-05:53:38,77.389,101.091820312,34.765,2,1594965218
3,7.07,17_07_2020-05:53:39,75.621,101.094683593,34.788,3,1594965219
4,7.43,17_07_2020-05:53:40,75.18,101.094109375,34.8,4,1594965220
5,7.47,17_07_2020-05:53:41,76.542,101.093320312,34.848,5,1594965221
6,7.44,17_07_2020-05:53:42,76.583,101.093144531,34.987,6,1594965222
7,7.42,17_07_2020-05:53:44,76.817,101.091878906,34.929,7,1594965224
8,7.71,17_07_2020-05:53:45,77.401,101.093417968,34.926,8,1594965225
9,7.5,17_07_2020-05:53:46,77.461,101.094988281,35.115,9,1594965226
10,7.81,17_07_2020-05:53:47,78.848,101.094824218,35.118,10,1594965227
11,7.67,17_07_2020-05:53:48,77.949,101.091988281,35.125,11,1594965228
12,7.65,17_07_2020-05:53:49,78.536,101.094476562,35.173,12,1594965229
13,7.46,17_07_2020-05:53:51,78.147,101.095148437,35.165,13,1594965231
14,7.61,17_07_2020-05:53:52,77.822,101.094246093,35.243,14,1594965232
15,7.43,17_07_2020-05:53:53,77.571,101.095324218,35.281,15,1594965233
16,7.5,17_07_2020-05:53:54,78.03,101.095320312,35.349,16,1594965234
17,7.71,17_07_2020-05:53:55,78.596,101.094578125,35.311,17,1594965235
18,7.36,17_07_2020-05:53:56,77.392,101.095890625,35.359,18,1594965236
19,7.58,17_07_2020-05:53:57,78.688,101.09696875,35.407,19,1594965237
20,7.62,17_07_2020-05:53:59,78.829,101.095808593,35.465,20,1594965239
21,7.56,17_07_2020-05:54:00,76.325,101.096222656,35.518,21,1594965240
22,447.84,17_07_2020-05:54:01,76.342,101.093300781,35.44,22,1594965241
23,464.64,17_07_2020-05:54:02,58.226,101.092066406,35.493,23,1594965242
24,464.32,17_07_2020-05:54:03,45.303,101.088691406,35.46,24,1594965243
25,464.64,17_07_2020-05:54:04,36.979,101.088082031,35.417,25,1594965244
26,464.64,17_07_2020-05:54:05,34.481,101.090246093,35.354,26,1594965245
27,464.64,17_07_2020-05:54:07,31.559,101.087710937,35.291,27,1594965247
28,464.64,17_07_2020-05:54:08,30.053,101.087601562,35.259,28,1594965248
29,464.96,17_07_2020-05:54:09,30.278,101.084445312,35.306,29,1594965249
30,464.96,17_07_2020-05:54:10,29.62,101.0840625,35.213,30,1594965250
31,464.64,17_07_2020-05:54:11,28.938,101.0834375,35.196,31,1594965251
32,464.64,17_07_2020-05:54:12,30.029,101.08646875,35.082,32,1594965252
33,464.64,17_07_2020-05:54:14,28.41,101.085296875,35.1,33,1594965254
34,464.64,17_07_2020-05:54:15,29.116,101.086414062,35.087,34,1594965255
35,464.96,17_07_2020-05:54:16,28.251,101.085296875,35.014,35,1594965256
36,464.96,17_07_2020-05:54:17,28.726,101.084253906,35.032,36,1594965257
